Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2011,"FLA",162,72,90,3.95227156895219,670,162,83,7,4,40,69,19,1459.2,6200,1403,702,641,149,500,72,37,43,10,1218
2012,"STL",162,88,74,3.7103441084042355,668,162,99,4,2,42,105,22,1462.2,6158,1420,648,603,134,436,28,50,46,4,1218
2013,"ARI",162,81,81,3.9190640176518543,689,162,87,6,2,38,64,29,1495,6338,1460,695,651,176,485,42,60,84,3,1218
2015,"BOS",162,78,84,4.3373998527897335,637,162,80,3,1,40,63,20,1448.1,6224,1486,753,698,178,478,17,62,79,10,1218
2017,"KCR",162,80,82,4.632507377891837,700,162,64,1,1,39,94,21,1437.2,6218,1480,791,740,196,519,24,52,48,6,1216
2022,"ARI",162,74,88,4.254546838477088,708,162,55,0,0,33,76,27,1430,6065,1345,740,676,191,504,18,59,51,3,1216
2015,"ARI",162,79,83,4.049997384774748,712,162,69,1,1,44,85,21,1466.2,6257,1450,713,660,182,500,45,48,51,3,1215
2018,"DET",162,64,98,4.596822167176256,704,162,57,0,0,37,75,24,1425.1,6130,1423,796,728,216,491,20,60,54,4,1215
2022,"BAL",162,83,79,3.974650032465956,703,162,41,2,1,46,79,11,1433.1,6058,1406,688,633,171,443,8,64,47,4,1214
2011,"BOS",162,90,72,4.199451441579811,606,162,71,2,1,36,75,16,1457.1,6242,1366,737,680,156,540,11,90,58,7,1213
2014,"BOS",162,71,91,4.009781560678182,655,162,87,3,2,36,63,18,1465.2,6231,1458,715,653,154,482,19,47,51,5,1213
2007,"CHC",162,85,77,4.043780134745253,640,162,81,2,1,39,67,14,1446.2,6186,1340,690,650,165,573,46,59,42,3,1211
2014,"SFG",162,88,74,3.503106250474005,637,162,86,8,3,46,81,18,1449,5947,1305,614,564,133,389,35,57,49,6,1211
2010,"HOU",162,76,86,4.089392232930746,669,162,95,4,2,45,82,15,1439.1,6221,1446,729,654,140,548,39,40,57,9,1210
2013,"NYM",162,74,88,3.7848759572113115,697,162,94,4,2,40,68,18,1476.2,6249,1442,684,621,152,458,38,54,47,3,1209
2013,"KCR",162,86,76,3.448791372607124,589,162,95,5,2,52,85,21,1448.1,6049,1366,601,555,155,469,21,41,60,4,1208
2013,"TOR",162,74,88,4.264460026173415,649,162,67,4,2,39,62,19,1452,6250,1451,756,688,195,500,33,65,54,7,1208
2010,"BOS",162,89,73,4.189013392789639,605,162,89,3,1,44,65,25,1456.2,6267,1402,744,678,152,580,30,53,58,3,1207
2008,"LAD",162,84,78,3.6812536346482627,623,162,79,5,4,35,61,20,1447.1,6127,1381,648,592,123,480,58,48,47,4,1205
2012,"SDP",162,76,86,4.014868621227832,691,162,75,4,3,43,98,17,1434.2,6151,1356,710,640,162,539,48,48,49,8,1205
2018,"BAL",162,47,115,5.188680437407624,652,162,64,2,0,28,54,18,1431,6340,1552,892,825,234,589,29,67,81,8,1203
2022,"OAK",162,60,102,4.536808146388816,692,162,47,0,0,34,105,25,1426.1,6121,1394,770,719,195,503,37,72,62,5,1203
2017,"DET",162,64,98,5.360711156705803,672,162,72,2,1,32,75,23,1420.1,6298,1587,894,846,218,538,42,61,53,4,1202
2017,"OAK",162,75,87,4.67295610719799,687,162,73,1,1,35,95,25,1431,6167,1444,826,743,210,502,17,61,84,3,1202
2017,"MIA",162,77,85,4.8160811244609,742,162,54,1,1,34,98,26,1442.2,6318,1450,822,772,193,627,59,75,57,3,1202
2012,"ARI",162,81,81,3.94234043961345,623,162,85,4,2,39,68,20,1433.2,6063,1432,688,628,155,417,18,51,52,10,1200
2013,"LAA",162,78,84,4.241712121960557,658,162,87,4,2,41,79,17,1457.2,6298,1475,737,687,167,533,36,45,74,4,1200
2013,"PHI",162,73,89,4.3360413289215884,628,162,91,6,2,32,55,16,1436.1,6213,1465,749,692,152,506,33,62,48,6,1199
2014,"TOR",162,83,79,4.0041573744955645,611,162,86,3,2,45,78,18,1443,6150,1400,686,642,151,490,23,57,43,5,1199
2022,"DET",162,66,96,4.038270695890295,742,162,46,0,0,38,90,17,1419.2,6047,1336,713,637,167,511,9,57,59,2,1195
2007,"TBD",162,66,96,5.533454126867021,645,162,73,2,1,28,58,21,1429.2,6403,1649,944,879,199,568,31,63,55,2,1194
2017,"CHW",162,67,95,4.779602039361074,682,162,63,0,0,25,55,15,1421.2,6200,1384,820,755,242,632,36,68,67,5,1193
2012,"PIT",162,79,83,3.9118596246377786,645,162,83,2,1,45,92,14,1433.1,6097,1357,674,623,153,490,30,45,45,3,1192
2011,"HOU",162,56,106,4.509408835408064,665,162,80,2,0,25,50,26,1435,6268,1477,796,719,188,560,59,53,39,9,1191
2016,"MIN",162,59,103,5.089399537234206,695,162,59,4,1,26,46,20,1443,6314,1617,889,816,221,479,26,41,83,7,1191
2022,"KCR",162,65,97,4.716100792055312,722,162,51,0,0,33,80,21,1416,6249,1493,810,742,173,589,15,71,88,6,1191
2014,"MIA",162,77,85,3.790990179438022,649,162,86,3,3,42,70,22,1457.2,6217,1481,674,614,114,458,35,49,56,4,1190
2010,"TBR",162,96,66,3.782849540911137,653,162,95,6,3,51,79,16,1453.2,6103,1347,649,611,175,478,34,46,60,9,1189
2016,"OAK",162,69,93,4.514649678580339,654,162,69,2,1,42,66,23,1433.1,6144,1459,761,719,185,464,28,50,70,3,1188
2009,"SDP",162,75,87,4.373852165157668,689,162,77,2,1,45,92,23,1450.2,6273,1422,769,705,167,603,58,45,52,8,1187
2022,"COL",162,68,94,5.076705034441694,659,162,64,1,1,43,65,21,1425.1,6240,1516,873,804,184,539,12,59,65,3,1187
2008,"BOS",162,95,67,4.013598884573306,628,162,82,5,2,47,66,22,1446.1,6180,1369,694,645,147,548,17,68,43,2,1185
2007,"LAD",162,82,80,4.20206904462895,645,162,78,4,0,43,73,17,1450,6196,1443,727,677,146,518,34,38,44,5,1184
2008,"TOR",162,86,76,3.4900943537168607,583,162,90,15,5,44,72,12,1446.2,6067,1330,610,561,134,467,42,67,51,4,1184
2010,"TOR",162,85,77,4.2292931915907594,617,162,86,5,2,45,69,17,1440.2,6165,1407,728,677,150,539,35,60,69,3,1184
2013,"CHC",162,66,96,3.9965468698575326,651,162,91,3,1,39,63,26,1448,6149,1332,689,643,160,540,43,62,59,4,1184
2010,"PHI",162,97,65,3.683218766171001,613,162,94,14,6,40,61,19,1456.1,6095,1402,640,596,168,416,42,57,26,5,1183
2013,"OAK",162,96,66,3.5578537447191234,609,162,92,6,4,46,64,21,1452,6069,1339,625,574,163,428,23,35,56,1,1183
2008,"NYM",162,89,73,4.0748923400702,719,162,86,5,2,43,99,29,1464.1,6338,1415,715,663,163,590,53,70,55,4,1181
2009,"TOR",162,75,87,4.465884205031447,607,162,78,10,4,25,50,16,1451,6281,1509,771,720,181,551,26,58,43,4,1181
2010,"TEX",162,90,72,3.9331191252016886,643,162,76,7,0,46,83,20,1455.1,6213,1355,687,636,162,551,24,63,56,4,1181
2011,"TEX",162,96,66,3.7902416198234783,579,162,99,10,7,38,65,20,1441.1,6021,1327,677,607,170,461,21,46,43,6,1179
2015,"OAK",162,68,94,4.161512511794367,649,162,83,5,3,28,41,25,1444.2,6128,1402,729,668,172,474,19,47,62,4,1179
2012,"BAL",162,93,69,3.896156223862729,654,162,78,1,1,55,67,18,1483,6278,1433,705,642,184,481,36,53,34,6,1177
2012,"KCR",162,72,90,4.297428158790476,662,162,69,2,1,44,78,20,1451.1,6251,1504,746,693,163,542,44,60,49,8,1177
2013,"MIA",162,62,100,3.7109585729300387,633,162,82,2,1,36,52,17,1460,6166,1376,646,602,121,526,58,47,53,2,1177
2022,"STL",162,93,69,3.7926616213543403,628,162,62,3,1,37,65,16,1435.2,6014,1335,637,605,146,489,11,60,43,3,1177
2012,"BOS",162,69,93,4.721417195946031,651,162,72,6,2,35,76,22,1443,6209,1449,806,757,190,529,33,66,42,11,1176
2016,"MIL",162,73,89,4.09737194482734,675,162,62,0,0,46,88,22,1434.1,6188,1450,733,653,178,532,33,66,48,2,1175
2007,"MIL",162,83,79,4.442880635434141,654,162,76,3,0,49,95,20,1444.1,6285,1513,776,713,161,507,37,52,57,2,1174
2014,"BAL",162,96,66,3.4365897343636473,641,162,78,3,2,53,97,19,1461.1,6104,1342,593,558,151,472,25,59,42,2,1174
2005,"MIL",162,81,81,3.9805284841033783,557,162,91,7,2,46,61,21,1438,6208,1382,697,636,169,569,52,45,66,8,1173
2013,"SDP",162,76,86,3.977317741605014,650,162,87,3,1,40,75,13,1455,6179,1407,700,643,156,525,31,40,51,2,1171
2012,"HOU",162,55,107,4.565340983513619,703,162,73,3,2,31,70,19,1423.1,6238,1493,794,722,173,540,40,48,75,6,1170
2011,"TOR",162,81,81,4.325183079696776,636,162,81,7,3,33,50,26,1458.2,6286,1433,761,701,179,540,28,77,73,3,1169
2013,"BAL",162,85,77,4.199588181726436,635,162,78,2,1,57,80,27,1453,6144,1438,709,678,202,473,32,50,38,3,1169
2010,"FLA",162,80,82,4.092233947351891,643,162,85,5,2,39,86,25,1438.1,6217,1433,717,654,134,549,42,51,49,4,1168
2014,"KCR",162,89,73,3.5052850063560728,613,162,95,3,2,53,75,12,1450.2,6101,1386,624,565,128,440,14,56,58,6,1168
2012,"SEA",162,75,87,3.762702516843902,613,162,89,8,6,43,61,19,1456.2,6062,1359,651,609,166,449,39,49,61,5,1166
2017,"MIN",162,85,77,4.600280911430666,682,162,62,6,3,42,82,20,1436,6205,1487,788,734,224,483,37,69,52,8,1166
2015,"SFG",162,84,78,3.73251869394731,719,162,78,7,4,41,116,15,1444.1,6009,1344,627,599,155,431,28,50,40,4,1165
2004,"ANA",162,92,70,4.282378436879263,505,162,79,2,2,50,54,17,1454.1,6246,1476,734,692,170,502,27,44,61,7,1164
2005,"HOU",163,89,73,3.5176743219859725,597,163,103,6,2,45,66,13,1443,6023,1336,609,564,155,440,29,59,38,8,1164
2006,"LAA",162,89,73,4.039467620626423,542,162,97,5,3,50,50,13,1452.2,6149,1410,732,652,158,471,27,50,85,3,1164
2006,"MIN",162,96,66,3.9518320155118585,583,162,73,1,0,40,68,10,1439.1,6066,1490,683,632,182,356,25,36,40,3,1164
2006,"NYM",162,97,65,4.157159905577529,636,162,82,5,3,43,73,15,1461.1,6240,1402,731,675,180,527,39,62,37,5,1161
2006,"HOU",162,82,80,4.093509351151922,659,162,85,5,2,42,75,18,1468.2,6219,1425,719,668,182,480,65,54,44,2,1160
2011,"OAK",162,74,88,3.7114879594011145,622,162,94,6,1,39,65,18,1447.2,6159,1380,679,597,136,519,24,41,53,3,1160
2015,"KCR",162,95,67,3.7376071746480086,655,162,71,2,1,56,79,20,1452,6112,1372,641,603,155,489,10,52,62,2,1160
2005,"PHI",162,88,74,4.214635608622057,604,162,84,4,0,40,78,23,1435,6119,1379,726,672,189,487,51,72,36,9,1159
2009,"ARI",162,70,92,4.4388698519017025,645,162,89,4,1,36,46,19,1447.2,6267,1470,782,714,168,525,27,53,79,2,1158
2002,"BOS",162,93,69,3.7531114886347665,500,162,95,5,3,51,40,17,1446,6049,1339,665,603,146,430,29,84,31,6,1157
2012,"LAA",162,89,73,4.0186041273217805,606,162,91,6,5,38,80,22,1433.1,6034,1339,699,640,186,483,20,40,38,2,1157
2018,"KCR",162,58,104,4.946229859073735,645,162,63,2,0,33,52,24,1432,6284,1542,833,787,205,549,28,51,68,4,1157
2007,"LAA",162,94,68,4.2271781744184835,558,162,90,5,3,43,74,14,1435,6161,1480,731,674,151,477,22,51,69,5,1156
2009,"COL",162,92,70,4.2361525941192815,646,162,94,5,2,45,73,16,1438.1,6171,1427,715,677,141,528,51,46,48,5,1154
2010,"NYY",162,95,67,4.055927359821772,592,162,83,3,0,39,76,18,1442.1,6102,1349,693,650,179,540,37,62,69,6,1154
2016,"TEX",162,95,67,4.384616644062939,641,162,84,1,0,56,103,17,1443,6186,1441,757,703,201,534,16,53,45,5,1154
2004,"ARI",162,51,111,4.982589852551149,633,162,69,5,2,33,55,22,1436,6418,1480,899,795,197,668,79,75,71,8,1153
2009,"KCR",162,65,97,4.828192602422355,588,162,74,10,5,34,50,22,1426,6265,1486,842,765,166,600,28,51,89,6,1153
2009,"PHI",162,93,69,4.160981649538543,621,162,83,8,5,44,81,22,1455.2,6263,1479,709,673,189,489,31,75,28,2,1153
2015,"PHI",162,63,99,4.693199232510082,665,162,66,1,1,35,53,16,1436.1,6332,1592,809,749,191,488,37,61,60,7,1153
2014,"CHW",162,73,89,4.29701452607271,615,162,89,3,0,36,68,21,1441,6255,1468,758,688,140,557,42,69,75,3,1152
2015,"MIA",162,71,91,4.036440929784575,648,162,83,0,0,35,80,21,1427,6050,1374,678,640,141,508,25,52,53,3,1152
2007,"BOS",162,96,66,3.866077116094536,613,162,84,5,3,45,78,11,1438.2,6071,1350,657,618,151,482,20,62,33,0,1149
2010,"CHW",162,88,74,4.094494220765363,569,162,94,6,2,43,57,14,1446.1,6180,1471,704,658,136,490,41,34,59,9,1149
2015,"ATL",162,67,95,4.413706836189472,694,162,79,3,2,44,82,26,1425.1,6156,1462,760,699,170,550,45,53,53,9,1148
2008,"CHW",163,89,74,4.105878037879673,626,163,93,4,0,34,74,18,1457.2,6218,1471,729,665,156,460,42,48,54,3,1147
2006,"MIL",162,75,87,4.829322730880044,589,162,81,7,5,43,59,24,1425.2,6210,1454,833,765,177,514,34,74,57,2,1145
2009,"HOU",162,74,88,4.544054357992553,659,162,72,5,1,39,83,26,1430,6237,1521,770,722,176,546,56,50,43,4,1144
2012,"COL",162,64,98,5.215189637329474,737,162,27,0,0,36,73,27,1422,6384,1637,890,824,198,566,61,47,94,6,1144
2008,"TBR",162,97,65,3.8156889369638702,610,162,82,7,5,52,80,16,1457.2,6145,1349,671,618,166,526,29,46,52,3,1143
2011,"TBR",162,91,71,3.5838540640977743,600,162,99,15,5,32,51,12,1449,6010,1263,614,577,161,504,38,46,45,3,1143
2007,"FLA",162,71,91,4.956129454718262,722,162,49,0,0,40,106,24,1443.2,6544,1617,891,795,176,661,60,76,67,9,1142
2012,"TOR",162,73,89,4.644424597017837,657,162,75,5,4,29,72,15,1443.2,6216,1439,784,745,204,574,20,55,56,7,1142
2003,"BOS",162,95,67,4.491807439246746,599,162,82,5,0,36,46,21,1464.2,6355,1503,809,731,153,488,41,76,44,0,1141
2008,"NYY",162,89,73,4.282544567341505,637,162,78,1,0,42,79,9,1441.2,6175,1478,727,686,143,489,37,51,55,5,1141
2003,"HOU",162,87,75,3.8668976660001952,664,162,76,1,0,50,91,14,1450,6176,1350,677,623,161,565,53,74,40,4,1139
2011,"SDP",162,71,91,3.4277813181910695,651,162,91,0,0,44,82,18,1449.1,6065,1324,611,552,125,521,56,37,45,6,1139
2006,"PHI",162,85,77,4.609909163285955,662,162,74,4,2,42,85,22,1460.1,6366,1561,812,748,211,512,63,62,58,4,1138
2014,"HOU",162,70,92,4.141334546854727,600,162,87,7,2,31,65,25,1438.2,6154,1437,723,662,139,484,32,52,57,7,1137
2007,"SDP",163,89,74,3.7220484557825566,648,163,90,1,0,45,76,22,1484.2,6254,1406,666,614,119,474,48,48,42,6,1136
2012,"OAK",162,94,68,3.495920658742386,624,162,90,1,0,47,79,17,1470,6131,1360,614,571,147,462,34,46,40,5,1136
2016,"LAA",162,74,88,4.280487118688994,689,162,64,4,3,29,83,21,1421.1,6120,1480,727,676,208,498,27,56,47,10,1136
2002,"NYY",161,103,58,3.886362733074711,495,161,87,9,5,53,46,16,1452,6159,1441,697,627,144,403,44,48,59,2,1135
2007,"NYM",162,88,74,4.269682489648697,661,162,86,2,2,39,78,17,1452.1,6293,1415,750,689,165,570,40,61,36,3,1134
2005,"SDP",162,82,80,4.131009418027644,618,162,78,4,3,45,70,20,1455.1,6253,1452,726,668,146,503,45,46,36,3,1133
2002,"LAD",162,92,70,3.692204045307906,585,162,97,4,2,56,78,15,1457.2,6139,1311,643,598,165,555,45,46,33,3,1132
2003,"FLA",162,91,71,4.041281496743757,557,162,94,7,2,36,48,14,1445.1,6165,1415,692,649,128,530,40,40,51,11,1132
2004,"BOS",162,98,64,4.192007275591745,599,162,86,4,1,36,53,13,1451.1,6222,1430,768,676,159,447,28,92,39,1,1132
2010,"LAA",162,80,82,4.042548792058431,572,162,93,10,3,39,63,17,1449.1,6252,1422,702,651,148,565,33,46,80,6,1130
2010,"CIN",162,91,71,4.019954395820581,664,162,89,4,2,43,74,20,1453,6182,1404,685,649,158,524,32,50,48,6,1130
2012,"CHC",162,61,101,4.50742724639078,655,162,73,1,0,28,56,21,1413.2,6140,1399,759,708,175,573,36,65,44,5,1128
2008,"FLA",161,84,77,4.439383655419456,672,161,74,2,1,36,87,24,1435.1,6271,1421,767,708,161,586,66,58,59,4,1127
2005,"LAA",162,95,67,3.675392956399868,541,162,99,7,3,54,55,17,1464.1,6158,1419,643,598,158,443,24,48,70,1,1126
2011,"NYM",162,77,85,4.189227785413371,676,162,84,6,2,43,75,24,1448,6316,1482,742,674,147,514,48,70,46,7,1126
2005,"FLA",162,83,79,4.18696589057809,611,162,85,14,8,42,55,18,1442.1,6236,1459,732,671,116,563,57,65,45,3,1125
2009,"TBR",162,84,78,4.357075780637519,672,162,76,3,3,41,79,22,1427.1,6146,1421,754,691,183,515,22,46,46,5,1125
2013,"MIL",162,74,88,3.8366434040924635,663,162,82,4,2,40,83,23,1442.2,6100,1401,687,615,175,466,29,43,51,2,1125
2009,"OAK",162,75,87,4.290649185686702,650,162,64,2,2,38,68,12,1447.1,6243,1486,761,690,156,523,30,36,43,2,1124
2004,"MIN",162,92,70,4.042682262386216,597,162,83,4,4,48,48,20,1476,6269,1523,715,663,167,431,27,54,45,1,1123
2018,"TEX",162,67,95,4.9245306307022645,668,162,50,1,0,42,90,14,1431,6231,1516,848,783,222,491,23,72,57,8,1121
2003,"NYY",163,101,61,4.032146565145328,530,163,96,8,3,49,57,18,1462,6209,1512,716,655,145,375,36,49,33,0,1119
2009,"CHW",162,79,83,4.15721377043746,577,162,86,4,1,36,55,18,1439.2,6155,1438,732,665,169,507,41,41,55,5,1119
2011,"COL",162,73,89,4.438867536317412,679,162,71,5,2,41,97,23,1447.2,6215,1471,774,714,176,522,47,48,65,7,1118
2015,"TOR",162,93,69,3.8098562843728865,631,162,84,7,2,34,60,22,1441,5984,1353,670,610,173,397,20,59,62,4,1117
2004,"FLA",162,83,79,4.0965953638787465,566,162,86,6,3,53,54,22,1439,6110,1395,700,655,166,513,61,51,35,3,1116
2004,"CLE",162,80,82,4.817047506267478,641,162,73,8,3,32,55,28,1466.2,6450,1553,857,785,201,579,47,62,43,6,1115
2006,"ARI",162,76,86,4.4886949105558385,623,162,81,8,4,34,75,20,1459.2,6341,1503,788,728,168,536,44,61,53,4,1115
2011,"DET",162,95,67,4.043749102595746,583,162,90,4,2,52,60,10,1440,6108,1406,711,647,149,492,34,52,69,5,1115
2012,"MIA",162,69,93,4.104351990992086,645,162,91,5,3,38,88,22,1440.2,6186,1448,724,657,133,495,61,55,36,4,1113
2011,"CIN",162,79,83,4.157617966115255,663,162,90,4,2,39,73,22,1467.2,6259,1414,720,678,185,539,47,59,51,13,1112
2015,"COL",162,68,94,5.041600659460254,746,162,54,4,1,36,99,25,1426.1,6308,1579,844,799,183,579,42,48,66,6,1112
2008,"MIL",162,90,72,3.870391031585177,607,162,84,12,6,45,68,26,1455.2,6209,1415,689,626,175,528,32,42,53,5,1110
2014,"TEX",162,67,95,4.49263936392984,638,162,62,6,4,33,68,14,1426.1,6195,1510,773,712,160,505,43,61,61,7,1110
2007,"HOU",162,73,89,4.700725657526006,638,162,82,2,1,38,65,25,1464.2,6417,1566,813,765,206,510,62,63,40,3,1109
2002,"SDP",162,66,96,4.655605416332596,622,162,74,5,2,40,60,23,1436.1,6333,1522,815,743,177,582,61,66,51,4,1108
2002,"NYM",161,75,86,3.9052664389764513,612,161,81,9,6,36,62,15,1442.2,6212,1408,703,626,163,543,75,55,22,7,1107
2017,"TEX",162,78,84,4.69974410061053,626,162,79,2,1,29,66,21,1434.1,6211,1443,816,749,214,559,22,74,63,7,1107
2007,"ATL",162,84,78,4.109636953913495,690,162,81,1,1,36,64,15,1456.1,6263,1442,733,665,172,537,89,42,48,5,1106
2008,"LAA",162,100,62,3.9997697566810984,545,162,92,7,1,66,74,23,1451.1,6161,1455,697,645,160,457,32,63,50,2,1106
2010,"NYM",162,79,83,3.728837163917276,653,162,90,8,4,36,62,16,1453,6245,1438,652,602,135,545,55,52,48,5,1106
2002,"FLA",162,79,83,4.363011442241933,623,162,71,11,6,36,68,19,1456.1,6340,1449,763,706,151,631,46,58,55,7,1104
2009,"MIL",162,80,82,4.841809986814856,674,162,65,1,0,44,89,22,1435,6352,1498,818,772,207,607,60,65,61,1,1104
2009,"DET",163,86,77,4.341393835015285,602,163,73,4,1,42,67,24,1447,6240,1449,745,698,182,594,42,41,48,6,1102
2008,"SDP",162,63,99,4.406398873911857,653,162,76,3,0,30,55,26,1458.1,6286,1466,764,714,165,561,61,38,43,4,1100
2015,"DET",161,74,87,4.639945792977769,666,161,72,7,4,35,49,24,1447,6188,1491,803,746,193,489,32,46,60,8,1100
2004,"MIL",161,67,94,4.2628304996758795,584,161,82,6,1,42,59,22,1442,6204,1440,757,683,164,476,27,51,59,5,1098
2011,"STL",162,90,72,3.7859104789094142,630,162,86,7,5,47,68,26,1462,6211,1461,692,615,136,448,44,46,48,3,1098
2006,"SDP",162,88,74,3.8799850077776976,637,162,90,4,2,50,81,21,1463.2,6175,1385,679,631,176,468,63,50,34,4,1097
2008,"HOU",161,86,75,4.388447324112352,649,161,71,4,3,48,80,17,1425.1,6125,1453,743,695,197,492,53,50,22,9,1095
2015,"TEX",162,88,74,4.2546210180649835,660,162,79,5,3,45,94,17,1442.2,6215,1459,733,682,171,508,29,63,51,5,1095
2007,"MIN",162,79,83,4.178421293748433,600,162,80,5,3,38,65,14,1436.2,6133,1505,725,667,185,420,33,51,46,5,1094
2010,"STL",162,86,76,3.5723473318186802,617,162,94,7,3,32,59,11,1453.2,6137,1412,641,577,133,477,32,48,42,4,1094
2003,"SDP",162,64,98,4.873075843727156,635,162,74,2,0,31,60,18,1431.1,6303,1458,831,775,208,611,52,62,64,3,1091
2004,"BAL",162,78,84,4.706137359183824,614,162,68,8,4,27,54,20,1455.1,6459,1488,830,761,159,687,43,62,68,9,1090
2002,"MON",162,83,79,3.9766025992373977,599,162,78,9,1,39,78,20,1453,6246,1475,718,642,165,508,80,46,51,5,1088
2006,"FLA",162,78,84,4.370231878785679,600,162,89,6,2,41,69,27,1433.1,6294,1465,772,696,166,622,58,74,47,4,1088
2007,"ARI",162,90,72,4.13463006214139,631,162,84,7,4,51,85,15,1441,6216,1446,732,662,169,546,38,61,48,9,1088
2011,"SEA",162,67,95,3.9127696721924243,513,162,94,12,3,39,39,16,1433,6014,1369,675,623,145,436,27,51,68,6,1088
2007,"BAL",162,69,93,5.1860531071376865,652,162,72,4,1,30,78,25,1438.2,6418,1491,868,829,161,696,37,72,55,8,1087
2012,"CLE",162,68,94,4.787102712530041,656,162,73,2,1,43,81,13,1442,6283,1503,845,767,174,543,27,55,67,6,1086
2008,"KCR",162,75,87,4.501039486616071,601,162,78,2,0,44,59,16,1445.2,6214,1473,781,723,159,515,15,41,68,5,1085
2013,"HOU",162,51,111,4.793752920001247,610,162,75,2,1,32,70,29,1440,6370,1530,848,767,191,616,32,56,61,6,1084
2008,"PHI",162,92,70,3.892620326189963,630,162,88,4,3,47,80,15,1449.2,6229,1444,680,627,160,533,64,57,34,3,1081
2011,"KCR",162,71,91,4.4462588734457675,582,162,75,2,0,37,58,22,1451.1,6280,1487,762,717,163,557,42,58,69,7,1080
2004,"PIT",161,72,89,4.310927667019833,625,161,78,3,2,46,76,23,1428,6197,1451,744,684,149,576,64,63,45,3,1079
2004,"SDP",162,87,75,4.028454392648608,599,162,79,3,2,44,76,20,1441,6135,1460,705,645,184,422,39,48,27,2,1079
2006,"TOR",162,87,75,4.372927143598488,644,162,65,6,1,42,87,20,1428.1,6151,1447,754,694,185,504,56,59,53,13,1076
2008,"ATL",162,72,90,4.466684306759677,707,162,75,2,1,26,76,18,1440.2,6244,1439,778,715,156,586,80,42,42,5,1076
2002,"PHI",161,80,81,4.1657831749373875,611,161,77,5,3,47,78,24,1449.2,6222,1381,724,671,153,570,54,70,68,5,1075
2005,"OAK",162,88,74,3.6984606672431752,572,162,90,9,2,38,47,18,1450.1,6080,1315,658,596,154,504,42,60,41,3,1075
2014,"COL",162,66,96,4.855344472224803,709,162,70,1,1,24,74,26,1431,6248,1528,818,772,173,531,32,54,72,8,1074
2004,"PHI",162,86,76,4.467184132028562,638,162,71,4,4,43,82,25,1462.2,6308,1488,781,726,214,502,60,66,40,3,1070
2006,"BOS",162,86,76,4.826779740434246,616,162,70,3,1,46,80,23,1441.1,6292,1570,825,773,181,509,25,68,52,3,1070
2010,"OAK",162,81,81,3.5832359266702967,585,162,103,7,3,38,65,13,1431.2,6011,1315,626,570,153,512,29,38,42,8,1070
2010,"ARI",162,65,97,4.807961822027556,616,162,79,3,1,35,48,24,1432,6260,1503,836,765,210,548,38,58,82,4,1070
2009,"CIN",162,78,84,4.178061315891146,640,162,79,6,4,41,80,12,1458.1,6253,1420,723,677,188,577,36,65,45,1,1069
2006,"LAD",162,88,74,4.227800889127731,616,162,81,1,0,40,56,21,1460.1,6289,1524,751,686,152,492,40,41,54,8,1068
2007,"CIN",162,72,90,4.954237847656959,684,162,74,6,2,34,59,28,1449.2,6354,1605,853,798,198,482,47,73,54,5,1068
2010,"WSN",162,69,93,4.133100942291841,656,162,69,2,1,37,73,20,1435,6214,1469,742,659,151,512,57,46,33,7,1068
2006,"SEA",162,78,84,4.5974657815255835,591,162,74,6,2,47,72,20,1446.2,6294,1500,792,739,183,560,50,53,47,6,1067
2007,"TOR",162,83,79,4.000918785619361,582,162,91,11,2,44,64,25,1448.2,6108,1383,699,644,157,479,34,55,42,3,1067
2004,"LAD",162,93,69,4.0066535671115835,621,162,87,2,2,51,57,9,1453.1,6155,1386,684,647,178,521,47,54,43,2,1066
2013,"COL",162,74,88,4.43732567561764,665,162,65,1,0,35,82,18,1436,6248,1545,760,708,136,517,52,40,62,15,1064
2002,"SEA",162,93,69,4.0724175192038645,505,162,82,8,3,43,57,21,1445.1,6117,1422,699,654,178,441,34,49,42,3,1063
2008,"WSN",161,59,102,4.663178857250307,678,161,67,2,0,28,66,28,1434,6310,1496,825,743,190,588,44,51,59,8,1063
2009,"LAA",162,97,65,4.453287515204699,596,162,77,9,6,51,79,19,1445,6252,1513,761,715,180,523,35,58,67,2,1062
2008,"OAK",161,75,86,4.013937213539573,602,161,71,4,1,33,68,19,1435,6112,1364,690,640,135,576,45,54,30,4,1061
2003,"PHI",162,86,76,4.058415073322988,599,162,86,9,7,33,56,18,1443.2,6195,1386,697,651,142,536,51,77,53,4,1060
2006,"PIT",162,67,95,4.547040834930057,667,162,73,2,1,39,72,21,1435,6354,1545,797,725,156,620,62,70,61,6,1060
2002,"CLE",162,74,88,4.90852067106267,583,162,74,9,2,34,51,19,1424.2,6271,1508,837,777,142,603,38,57,52,8,1058
2002,"ATL",161,101,59,3.134257668203855,630,161,85,3,2,57,79,14,1467.1,6131,1302,565,511,123,554,63,42,40,4,1058
2004,"NYY",162,101,61,4.688060903232092,598,162,71,1,0,59,70,17,1443.2,6240,1532,808,752,182,445,32,60,57,4,1058
2011,"LAA",162,86,76,3.5692809021211422,548,162,98,12,6,39,58,25,1465,6124,1388,633,581,142,476,34,36,55,4,1058
2011,"ARI",162,94,68,3.7974604972081996,625,162,90,5,1,58,75,13,1443.1,6102,1414,662,609,159,442,16,53,39,7,1058
