Season,Team,TG,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
2005,"TBD",162,67,95,5.4000004226130365,563,162,56,1,0,43,66,26,1421.2,6384,1570,936,853,194,615,41,64,53,5,949
2006,"CLE",162,78,84,4.432551766093,539,162,82,13,6,24,40,23,1423.1,6190,1583,782,701,166,429,35,51,46,2,948
2004,"COL",162,68,94,5.536694426139954,635,162,65,3,0,36,67,34,1435.1,6535,1634,923,883,198,697,84,71,66,6,947
2002,"CHW",162,81,81,4.572734292582744,585,162,70,7,4,35,60,11,1423,6131,1422,798,723,190,528,31,60,54,6,945
2007,"STL",162,78,84,4.67030417447763,678,162,70,2,0,34,63,11,1435.2,6283,1514,829,745,168,509,25,73,39,6,945
2003,"CLE",162,68,94,4.206030879372722,590,162,76,5,2,34,52,25,1459.1,6254,1477,778,682,179,501,37,64,49,7,943
2012,"MIN",162,66,96,4.766913992489986,661,162,62,3,1,35,63,14,1438.2,6214,1536,832,762,198,465,43,57,60,2,943
2011,"MIN",162,63,99,4.596015120607689,619,162,80,7,3,32,59,20,1421.2,6210,1564,804,726,161,480,37,54,47,5,940
2009,"BAL",162,64,98,5.164450552462657,646,162,58,2,0,31,61,22,1429,6359,1633,876,820,218,546,45,51,31,7,933
2003,"CIN",162,69,93,5.090111047488742,637,162,56,4,1,38,60,26,1446.1,6423,1578,886,818,209,590,61,48,46,3,932
2005,"TEX",162,79,83,4.968748889809412,616,162,66,2,1,46,48,22,1440,6371,1589,858,795,159,522,31,60,44,4,932
2007,"WSN",162,73,89,4.578802783878625,750,162,60,0,0,46,95,27,1446.2,6333,1502,783,736,187,580,44,42,52,4,931
2005,"ATL",162,90,72,3.9836041414898458,646,162,78,8,3,38,73,24,1443.2,6186,1487,674,639,145,520,52,32,42,5,929
2003,"PIT",162,75,87,4.6485147609820645,619,162,77,7,3,44,77,24,1444.1,6293,1527,801,746,178,502,58,61,50,2,926
2002,"TBD",161,55,106,5.292523340847743,467,161,65,12,1,25,24,21,1440.1,6424,1567,918,847,215,620,24,94,62,10,925
2005,"KCR",162,56,106,5.559197015831992,605,162,51,4,0,25,55,18,1413.1,6370,1640,935,873,178,580,33,74,69,9,924
2004,"TBD",161,70,91,4.820749116979835,562,161,61,3,0,35,46,10,1417,6261,1459,842,759,192,580,35,93,55,7,923
2008,"BAL",161,68,93,5.151895409886262,653,161,60,4,1,35,56,24,1422,6414,1538,869,814,184,687,44,80,72,7,922
2002,"COL",162,73,89,5.2107505847914135,668,162,69,1,0,43,78,16,1426.2,6345,1554,898,826,225,582,49,64,42,6,920
2002,"PIT",161,72,89,4.236670702780517,619,161,73,2,1,47,96,19,1412.2,6131,1447,730,665,163,572,93,55,34,5,920
2009,"PIT",161,62,99,4.594122757141043,617,161,84,5,2,28,62,17,1418.1,6144,1491,768,724,152,563,37,47,52,3,919
2009,"WSN",162,59,103,5.017085103115112,694,162,63,6,1,33,62,25,1424.1,6349,1533,874,794,173,629,59,48,74,5,911
2002,"KCR",162,62,100,5.208884002733759,583,162,65,12,4,30,40,24,1441,6386,1587,891,834,212,572,48,52,68,6,909
2003,"NYM",161,66,95,4.4957552363585265,573,161,82,3,3,38,59,15,1413.1,6204,1497,754,706,168,576,71,45,45,7,907
2005,"DET",162,71,91,4.519850624187544,587,162,78,7,0,37,56,20,1435.2,6139,1504,787,721,193,461,33,51,53,5,907
2006,"KCR",162,62,100,5.672584089766368,635,162,47,3,2,35,66,31,1426.1,6434,1648,971,899,213,637,45,60,85,9,904
2005,"SEA",162,69,93,4.488441082043618,595,162,76,6,2,39,73,20,1427.2,6172,1483,751,712,179,496,32,57,36,4,892
2004,"KCR",162,58,104,5.164281494374522,571,162,63,6,2,25,48,22,1420.1,6320,1638,905,815,208,518,49,56,60,10,887
2003,"TBD",162,63,99,4.930161297550351,534,162,63,7,3,30,56,25,1436.2,6340,1454,852,787,196,639,37,95,65,9,877
2003,"COL",162,74,88,5.235211900481468,662,162,68,3,0,34,76,20,1420,6364,1629,892,826,200,552,51,84,48,8,866
2003,"KCR",162,83,79,5.067193396708752,570,162,62,7,3,36,62,28,1438.2,6366,1569,867,810,190,566,33,66,60,9,865
