Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,RAA,Def,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,WinP
2013,NYY,162,2253,6044,144,650,614,115,0.077101257,0.200860357,0.133418976,0.285195056,0.242429803,0.306924101,0.375848779,0.30120448184312637,,86.44659919037382,4.4320010198280215,-89.19429144,28.087390845641494,14.55437212605545,P,13026,15.338421917520463,-4,2,-4,2,5,-7,15,24,3.2558762683765963,-2.178461062,5.342923316266024,8.725351060224057,15.14570387324784,2.313072059425932,25.59499994572252,,,24.103891774575615,162,85,77,49,590,162,1447.1,7.667208204596194,2.7174128024400135,1.0633354444330487,0.3024079320113314,0.7462,0.440303657,0.114842175,92.66627879897828,3.942424981114345,,3.8914709924612447,3.7610295118504524,14.821306008729152,0.524691358
2012,NYY,162,2367,6231,245,804,774,93,0.090675653,0.18873375,0.188450398,0.293111753,0.264663287,0.336935483,0.453113685,0.3415228532882965,,113.07745703824217,2.3243506997823715,97.25650238662142,12.145613030996174,33.56071573,LF,13008,23.251163901528344,-3,0,0,-10,5,-6,0,-2,-7.629642945,-2.287377217,1.2790287407115102,8.810344264813466,0.17238683998584747,-1.735241118,29.229999719187617,,,-1.367910207,162,95,67,51,647,162,1445.1,8.207106774073754,2.6838110922805676,1.1831185789635914,0.29558213326824506,0.7511,0.448815165,0.130494505,92.29577348234407,3.8544757914655947,,3.975908123121478,3.746041486300321,17.01468175573973,0.586419753
2011,NYY,162,2301,6306,222,867,836,147,0.099429115,0.180463051,0.181043856,0.292230933,0.263138818,0.34338118,0.444182674,0.34456480233771747,,113.0095662991202,6.574492510873824,101.5691836382912,39.71470319107175,37.04537288984719,LF,13125,24.091831046709558,1,0,0,6,6,-9,-1,19,7.325737044215202,1.1765579655766487,16.85629222774878,-1.519698526,23.83884844649583,4.586073207975457,33.444999678991735,,,22.37739542190848,162,97,65,47,627,162,1458.1,7.541484580858951,3.1289138154627563,0.9380570018744357,0.29717091419219077,0.7498,0.441865808,0.098893949,92.88282461467499,3.7337137245660106,,3.8667611641803807,3.835813465652289,17.346866764011793,0.598765432
2010,NYY,162,2313,6379,201,859,823,103,0.103778021,0.178084339,0.169211425,0.300421151,0.266750493,0.349826662,0.435961918,0.34614328181875864,,111.93542401043794,12.080630123615265,101.4955919,-24.80706532,31.234007306867117,C,12981,-14.21825607,1,-11,2,6,-4,57,2,29,2.2447919603437185,1.9837398901581764,-0.144376248,20.98484132759495,25.069050836318638,3.971206210109615,-16.70000009,,,-33.3620635,162,95,67,39,592,162,1442.1,7.200831035745115,3.3695396527750106,1.1169399960124573,0.28077753779697623,0.7398,0.439383321,0.107057416,93.17842363680376,4.055927359821772,,4.343160727775731,4.145503596505479,16.378373776562512,0.586419753
2009,NYY,162,2369,6449,244,915,881,111,0.102806636,0.157233679,0.194169611,0.306237333,0.283392226,0.36175187,0.477561837,0.36468593896023815,,117.09632874875865,0.17330221086740494,137.53587091618445,-25.52662185,33.84403371918594,1B,13050,0,-6,-1,-8,-1,-10,3,,-22,-11.6741821,-4.929309396,10.131408259272575,1.7307792502688244,-4.741317284,-3.331221214,-0.725000012,,,-8.489872929,162,103,59,51,623,162,1450,7.8206907250658695,3.562759108085563,1.123448429553113,0.28959384763278057,0.7189,0.423022929,0.110703363,93.37958654568767,4.276552309182844,,4.316400469823763,4.173854693091041,19.25412831827998,0.635802469
2008,NYY,162,2330,6257,180,789,758,118,0.085504235,0.162218315,0.155958364,0.301630434,0.271356783,0.341631866,0.427315147,0.3375255986253741,,104.07209831016812,-6.653425824,24.27224654266667,-28.36216054,21.251831442101185,P,12975,0,-3,2,-1,9,8,-55,,-41,4.924019173,-3.266903955,-47.64782906,3.5151734278188087,-42.47556888,-5.087986039,27.944999592378736,,,-39.69021789,162,89,73,42,637,162,1441.2,7.1230078007822994,3.052717629,0.8927170162242496,0.30682601700758444,0.7102,0.456625141,0.093038386,91.74640326023271,4.282544567341505,,3.962309440229854,4.079002371248308,16.92621100321412,0.549382716
2007,NYY,162,2366,6528,201,968,929,123,0.097579656,0.151807598,0.173692496,0.317754968,0.28966241,0.365556583,0.463354906,0.3613084746489482,,119.16747702186659,11.935350224375725,168.4303309806472,-47.22681314,33.861333018987025,C,13056,0,0,-6,12,11,-8,-16,,-16,9.095452692359686,5.627533769235015,-39.62824529,-0.542802545,-25.44800142,-1.132992618,,,,-39.44804017,162,94,68,34,684,162,1450.2,6.259884994868056,3.585940066435814,0.9306072836771144,0.2988250942141432,0.7056,0.427667466,0.084889643,91.61782862315138,4.497935204439386,,4.512119665401827,4.695934097675664,13.53040632023476,0.580246914
2006,NYY,162,2430,6455,210,930,902,139,0.100542215,0.163129357,0.176782871,0.315077755,0.284551406,0.362716087,0.461334277,0.3556924204947471,,113.4282499994582,7.441561713814735,118.87509522560568,-91.89708134,24.220634599047184,P,12993,0,-4,3,1,-8,3,-34,,-39,-6.499485072,-1.513872579,-62.60788323,-9.436452856,-80.057796,-11.80679125,,,,-75.05782611,162,97,65,43,651,162,1443.2,6.352580691684537,3.092129561408764,1.0598024706441327,0.2891970476403489,0.7028,0.433194839,0.09631728,,4.426233847984319,,4.419205810158303,4.608557398826218,17.277102334424853,0.598765432
2005,NYY,162,2319,6406,229,886,847,84,0.099438026,0.154386512,0.173897582,0.297370195,0.27596017,0.354712247,0.449857752,0.3498414196638447,,115.66538138009923,-3.392212292,118.48521658648522,-160.9305698,17.43520948808795,P,12876,0,-2,-2,-3,-7,6,-104,,-120,-3.956048653,-4.170467772,-135.9658656,2.3627851728815585,-141.7295991,-19.17741119,,,,-147.7295261,162,95,67,46,580,162,1430.2,6.196408858838807,2.9126267021749923,1.0316863480706238,0.2967008470798038,0.6913,0.470485732,0.100985221,,4.535645469261706,,4.280290755630152,4.355694490346733,15.187632635701448,0.586419753
2004,NYY,162,2281,6364,242,897,863,84,0.105279698,0.154305468,0.189433689,0.285090742,0.26831916,0.352931879,0.457752849,0.35026245711053405,,112.49487219463283,-7.072032338,94.14265105,-88.09145533,21.73699606938232,3B,12993,0,-4,-4,-2,-3,-5,-54,,-79,-6.687597986,-2.369388158,-70.58274148,10.284945206949487,-69.35489804,-10.3491288,,,,-78.35494009,162,101,61,59,598,162,1443.2,6.5957027069408944,2.7741849759817563,1.1346104845588307,0.3003337041156841,0.6896,0.430588746,0.10495963,,4.688060903232092,,4.271850761477143,4.384030397386583,18.582020746544003,0.62345679
2003,NYY,163,2180,6431,230,877,845,98,0.106359819,0.162027678,0.182337199,0.294871794,0.270829616,0.356440281,0.453166815,0.35120354540009063,,114.9132966418415,-0.331568271,119.40420004420065,-71.95250498,26.50886883213887,P,13158,0,-4,3,-4,-9,0,-21,,-36,-6.564420399,-2.79616262,-44.39294817,-6.02908492,-59.78253671,-9.531116905,,,,-57.78252799,163,101,61,49,530,163,1462,6.88850688,2.3084808579076306,0.8926125983909504,0.30236673302366734,0.704,0.427417594,0.093127809,,4.032146565145328,,3.6601108682455514,3.923634095631457,28.552764629013836,0.62345679
2002,NYY,161,2135,6377,223,897,857,100,0.100360671,0.183628665,0.179789323,0.310028248,0.274950901,0.354422411,0.454740224,0.3516912373179222,,115.8227119238704,-0.981644766,122.9314732208063,-60.38615919,27.89979248749498,3B,13068,0,0,0,0,0,0,0,,0,-9.84836544,-0.495537935,-16.6360901,-12.87791606,-39.85789173,-7.402629456,,,,-44.85790458,161,103,58,53,495,161,1452,7.035122331801909,2.4979333037146865,0.8925617760171585,0.29284262813276135,0.7069,0.428028609,0.08988764,,3.886362733074711,,3.619783047901821,3.8664442491712525,28.20984106324613,0.639751553
2001,NYY,161,1867,6233,203,804,774,161,0.083266484,0.16605166,0.168190784,0.293245093,0.266810112,0.333870707,0.435000896,0.33151891318550947,,103.45470632379903,9.317442241444951,35.74880067398762,-73.76505248,17.298097217589966,,,,,,,,,,,,,,,,,,,,,,161,95,65,57,523,161,1451.1,7.8507092095012565,2.883554330504016,0.9797883531605044,0.3004728132387707,0.7154,,,,4.036976062705622,,3.794661262960425,,26.09788911230862,0.59375
2000,NYY,161,2061,6311,205,871,833,99,0.099984154,0.159562668,0.172606191,0.304050978,0.277357811,0.354146806,0.449964002,0.3498452803547841,,104.57602261835913,-1.461129938,37.12762110110709,-39.45462183,20.641803935150158,,,,,,,,,,,,,,,,,,,,,,161,87,74,40,543,161,1424.1,6.571492778954349,3.6459147437083264,1.1184175210335767,0.2904761904761905,0.6921,,,,4.758013521685216,,4.614160286512703,,17.49284846941009,0.540372671
